Inflatie,Data
7.937749277,10/1/2021
7.804801752,11/1/2021
8.182390928,12/1/2021
8.351982097,1/1/2022
8.528253356,2/1/2022
10.14658914,3/1/2022
13.76380629,4/1/2022
14.49325196,5/1/2022
15.05413599,6/1/2022
14.95106606,7/1/2022
15.32513181,8/1/2022
15.87570118,9/1/2022
15.32287157,10/1/2022
16.75493061,11/1/2022
16.37796719,12/1/2022
15.06345411,1/1/2023
15.52604699,2/1/2023
14.53897383,3/1/2023
11.22661123,4/1/2023
10.63242986,5/1/2023
10.24637128,6/1/2023
9.438653534,7/1/2023
9.423076923,8/1/2023
8.838065704,9/1/2023
8.05964331,10/1/2023
6.72383551,11/1/2023
6.604787494,12/1/2023
7.408139075,1/1/2024
7.239593706,2/1/2024
