Country,Country Code,Region,Life expectancy,GDP per capita,Corruption,Mortality caused by road traffic injury,Health Expenditure %,Education Expenditure %
Lesotho,LSO,Sub-Saharan Africa,54.331,1113.37214033581,,31.9,11.26946354,7.99171209335327
Lithuania,LTU,Europe & Central Asia,76.2829268292683,19575.768481407,0.5,8.1,7.00600433,
Luxembourg,LUX,Europe & Central Asia,82.6390243902439,113218.713349678,0.83333331,4.1,5.37075996,
Latvia,LVA,Europe & Central Asia,75.3878048780488,17926.841589919,0.41666666,8.1,6.57814217,
Morocco,MAR,Middle East & North Africa,76.68,3235.00066048238,0.5,17.0,5.30845118,5.93135690689087
Moldova,MDA,Europe & Central Asia,71.901,4491.6888269382,0.33333334,7.3,6.3779459,6.10378980636597
Madagascar,MDG,Sub-Saharan Africa,67.041,522.989524271408,0.25,29.2,3.68728375,2.99485874176025
Mexico,MEX,Latin America & Caribbean,75.054,9950.45008048459,0.25,12.8,5.43305254,
Mali,MLI,Sub-Saharan Africa,59.306,879.043187300812,0.33333334,22.7,3.89389849,3.48410224914551
Myanmar,MMR,East Asia & Pacific,67.134,1271.1115749486,0.33333334,20.4,4.67856407,2.13986992835999
Mongolia,MNG,East Asia & Pacific,69.87,4404.84583020208,0.3888889,21.0,3.76607823,4.94088983535767
Mozambique,MOZ,Sub-Saharan Africa,60.854,506.641639083046,0.33333334,30.0,7.83351135,6.0844202041626
Mauritania,MRT,Sub-Saharan Africa,64.925,1743.30290093768,,25.6,3.30329728,1.82437002658844
Mauritius,MUS,Sub-Saharan Africa,74.2358536585366,11097.168977137,,12.2,6.19943714,4.71929979324341
Malawi,MWI,Sub-Saharan Africa,64.263,591.846389556646,0.33333334,33.4,7.39341164,3.71131992340088
Malaysia,MYS,East Asia & Pacific,76.156,11432.8229973018,0.41666666,22.5,3.82514191,4.15661001205444
Namibia,NAM,Sub-Saharan Africa,63.708,5009.68590391401,0.5,34.8,8.49700546,8.92702674865723
Niger,NER,Sub-Saharan Africa,62.42,554.099389259855,0.25,25.5,5.6686306,3.52752876281738
Nigeria,NGA,Sub-Saharan Africa,54.687,2229.8586518613,0.25,20.7,3.02666044,
Nicaragua,NIC,Latin America & Caribbean,74.485,1926.69969398276,0.25,16.9,8.4039259,4.59999990463257
Netherlands,NLD,Europe & Central Asia,82.1121951219512,52476.2732533327,0.83333331,4.0,10.13031101,
Norway,NOR,Europe & Central Asia,82.9585365853659,75719.7528965342,0.83333331,2.1,10.52134705,
Nepal,NPL,South Asia,70.778,1194.95687572575,,16.3,4.44515085,4.23999977111816
New Zealand,NZL,East Asia & Pacific,81.7073170731707,42755.2162634522,0.91666669,9.6,9.74117661,
Oman,OMN,Middle East & North Africa,77.861,17700.7034900714,0.5,10.6,4.07190228,5.41320991516113
Pakistan,PAK,South Asia,67.273,1288.55632450434,0.33333334,13.0,3.37992716,2.50755000114441
Panama,PAN,Latin America & Caribbean,78.506,15774.2549406847,0.33333334,13.9,7.58405781,3.12736010551453
Peru,PER,Latin America & Caribbean,76.736,7027.61220697723,0.4375,13.6,5.21506882,3.81996011734009
Philippines,PHL,East Asia & Pacific,71.231,3485.3408438977,0.41666666,12.0,4.07676649,3.23436999320984
Poland,POL,Europe & Central Asia,77.9048780487805,15732.2031311754,0.5,9.4,6.44682503,
Portugal,PRT,Europe & Central Asia,81.6756097560976,23330.817288932,0.66666669,8.2,9.53145981,
Paraguay,PRY,Latin America & Caribbean,74.254,5380.9633218413,0.33333334,22.0,7.17281008,3.46971011161804
Qatar,QAT,Middle East & North Africa,80.227,62276.4286944365,0.58333331,7.3,2.9106288,2.80378007888794
Romania,ROU,Europe & Central Asia,75.6073170731707,12899.3461112897,0.41666666,10.3,5.74447823,
Saudi Arabia,SAU,Middle East & North Africa,75.133,23139.7979808237,0.58333331,35.9,5.68828773,6.79473543167114
Sudan,SDN,Sub-Saharan Africa,65.311,610.927861513165,0.083333336,26.8,4.57356596,
Senegal,SEN,Sub-Saharan Africa,67.941,1430.14825900162,0.35416666,23.5,4.13226938,5.34887504577637
Singapore,SGP,East Asia & Pacific,83.5951219512195,65640.7079484985,0.83333331,2.1,4.08152914,2.73621010780334
Sierra Leone,SLE,Sub-Saharan Africa,54.696,521.754836722241,0.5,33.0,8.74976635,7.4470100402832
El Salvador,SLV,Latin America & Caribbean,73.317,4167.73093878563,0.33333334,20.9,7.16578436,3.38515996932983
Serbia,SRB,Europe & Central Asia,75.9365853658537,7417.20364852201,0.33333334,7.5,8.67206478,3.61647009849548
Slovenia,SVN,Europe & Central Asia,81.5292682926829,25942.9547741436,0.58333331,5.1,8.52386475,
Sweden,SWE,Europe & Central Asia,83.109756097561,51939.4297445291,0.91666669,3.1,10.86749268,
Chad,TCD,Sub-Saharan Africa,54.239,709.54004317463,,32.4,4.3536315,2.37245988845825
Togo,TGO,Sub-Saharan Africa,61.042,893.352454121675,0.33333334,28.7,5.72606897,4.06914329528809
Thailand,THA,East Asia & Pacific,77.15,7817.00967118918,0.33333334,32.2,3.78912091,2.96898007392883
Tajikistan,TJK,Europe & Central Asia,71.097,890.544402355733,,15.7,7.10529375,5.71290016174316
Trinidad and Tobago,TTO,Latin America & Caribbean,73.507,16637.1629387697,0.33333334,9.3,7.02007389,3.69809150695801
Tunisia,TUN,Middle East & North Africa,76.699,3574.65402418454,0.4375,16.5,6.95845938,
Tanzania,TZA,Sub-Saharan Africa,65.456,1085.88486002476,0.33333334,31.1,3.82769322,3.59683632850647
Ukraine,UKR,Europe & Central Asia,71.8273170731707,3661.45620430228,0.39583334,10.2,7.09860182,5.44129991531372
Uruguay,URY,Latin America & Caribbean,77.911,17688.01500769,0.75,14.8,9.34783173,4.70325994491577
United States,USA,North America,78.7878048780488,65279.5290260953,0.75,12.7,16.76706314,
Uzbekistan,UZB,Europe & Central Asia,71.725,1784.00981608195,,11.7,5.61760426,7.00186014175415
Vietnam,VNM,East Asia & Pacific,75.4,2715.27598010995,0.41666666,30.6,5.24965572,4.06197023391724
South Africa,ZAF,Sub-Saharan Africa,64.131,6624.76186493309,0.49305555,22.2,9.10935497,5.9177098274231
Zambia,ZMB,Sub-Saharan Africa,63.886,1305.00103080403,0.3888889,20.5,5.31220293,4.46517992019653
Zimbabwe,ZWE,Sub-Saharan Africa,61.49,1316.74065692871,0.16666667,41.2,7.70356494,
